Source:Port,Destination:Port,Data Transferred (bytes)
172.16.133.82:61245,96.43.146.50:443,420
172.16.133.82:61242,96.43.146.50:443,420
172.16.133.82:61243,96.43.146.50:443,420
172.16.133.82:61244,96.43.146.50:443,420
98.138.19.88:80,172.16.133.132:44296,874
172.16.133.132:44296,98.138.19.88:80,132
216.115.222.200:443,172.16.133.103:63406,120
67.217.66.65:443,172.16.133.49:54985,14014
172.16.133.78:58631,157.56.241.150:443,1020
67.217.65.65:443,172.16.133.49:54982,13923
67.217.64.65:443,172.16.133.49:54984,14014
157.56.241.150:443,172.16.133.75:58186,2760
157.56.241.150:443,172.16.133.75:58187,25533
172.16.133.28:65271,172.16.139.250:5440,1022
172.16.133.109:49453,96.43.146.22:443,17237
172.16.133.78:54905,66.31.24.112:32450,5600
172.16.133.132:54613,216.185.152.111:80,13890
172.16.133.99:55981,172.16.139.250:5440,1022
172.16.131.10:8080,172.16.133.237:4358,8508
172.16.131.10:8080,172.16.133.235:2691,378
172.16.133.132:38625,98.139.134.187:80,942
96.43.146.50:443,172.16.133.82:61241,10642
172.16.133.75:58187,157.56.241.150:443,1902
24.44.106.119:18131,172.16.133.78:58865,58327
172.16.133.87:60115,172.16.139.250:5440,1022
172.16.133.82:60073,96.43.146.176:443,36575
172.16.133.18:49879,157.56.238.6:443,11256
96.43.146.176:443,172.16.133.82:61249,328282
96.43.146.176:443,172.16.133.99:55867,31347
96.43.146.22:443,172.16.133.109:49453,13855
96.43.146.48:443,172.16.133.37:49741,3065
172.16.133.118:57961,68.64.28.20:443,4261
172.16.133.26:53038,67.217.65.99:443,23121
172.16.133.116:53121,172.16.139.250:5440,1022
98.139.134.187:80,172.16.133.132:38625,7541
172.16.133.35:49909,172.16.139.250:5440,1142
172.16.133.26:53041,67.217.66.99:443,23121
172.16.133.26:53040,67.217.64.99:443,23121
172.16.133.116:53122,172.16.139.250:5440,1022
24.63.143.150:10943,172.16.133.25:59904,3840
172.16.133.25:59904,24.63.143.150:10943,3023
172.16.133.233:22,172.16.128.233:55208,29696
172.16.133.116:53123,172.16.139.250:5440,1022
172.16.133.82:61235,64.56.203.22:443,420
172.16.133.84:58729,172.16.139.250:5440,1022
216.185.152.111:80,172.16.133.132:54613,17310
128.119.195.145:38677,172.16.133.78:62209,34030
172.16.133.207:55649,67.217.66.54:443,23121
172.16.133.207:55648,67.217.64.54:443,23121
172.16.133.207:55646,67.217.65.54:443,23121
157.56.232.214:443,172.16.133.121:53746,789
157.56.242.198:443,172.16.133.57:60587,4220
172.16.133.57:60587,157.56.242.198:443,2323
66.151.158.187:443,172.16.133.103:63407,180
68.64.28.20:443,172.16.133.118:57961,4075
172.16.133.132:54620,216.185.152.111:80,13216
172.16.133.103:63409,202.173.24.200:443,246
172.16.133.121:53746,157.56.232.214:443,360
172.16.133.121:53745,157.56.232.214:443,1518
172.16.133.82:61234,64.56.203.22:443,5271
172.16.133.82:60717,216.115.208.199:443,2234
172.16.133.28:49284,5.79.25.105:443,18628
216.219.112.250:443,172.16.133.103:63408,120
172.16.133.85:51696,64.74.80.244:443,15534
172.16.133.85:51700,216.219.115.183:443,15534
172.16.133.35:64162,172.16.139.250:5462,49708
172.16.133.46:58048,172.16.139.250:5462,49828
172.16.133.35:63962,172.16.139.250:5500,1684068
172.16.133.207:49562,172.16.139.250:5462,49708
172.16.133.46:57824,172.16.139.250:5500,1677104
24.63.70.49:28159,172.16.133.25:59820,4005
172.16.133.37:49273,172.16.139.250:5462,51028
172.16.133.207:49560,172.16.139.250:5500,1669904
172.16.133.132:50395,76.13.6.174:80,717
172.16.133.67:49855,172.16.139.250:5462,52108
157.56.232.214:443,172.16.133.121:53745,840
172.16.133.37:49272,172.16.139.250:5500,1698836
172.16.133.68:49279,172.16.139.250:5462,51792
172.16.133.67:49854,172.16.139.250:5500,1720428
157.56.238.6:443,172.16.133.18:49879,14004
172.16.133.11:49284,172.16.139.250:5462,49828
172.16.133.68:49278,172.16.139.250:5500,1750356
172.16.133.11:49283,172.16.139.250:5500,1669604
5.79.25.106:443,172.16.133.76:60548,15048
172.16.133.42:57835,172.16.139.250:5462,54380
172.16.133.49:55704,172.16.139.250:5440,1022
184.96.221.120:64510,172.16.133.78:58899,3673
172.16.128.233:55208,172.16.133.233:22,5692
76.13.6.174:80,172.16.133.132:50395,1212
173.49.112.206:61315,172.16.133.25:60121,6646
172.16.133.42:57833,172.16.139.250:5500,1889680
216.185.152.111:80,172.16.133.132:54620,20322
172.16.133.85:51699,216.115.216.31:443,15534
172.16.133.235:2691,172.16.131.10:8080,1023
172.16.133.95:56882,172.16.139.250:5440,1142
172.16.133.85:51701,216.115.217.225:443,15534
172.16.133.132:54610,98.139.161.29:80,715
172.16.133.132:44300,98.138.19.88:80,733
5.79.25.105:443,172.16.133.28:49284,15194
172.16.133.63:53725,107.22.18.198:443,81288
172.16.133.24:57634,23.20.10.203:443,60
172.16.133.24:57632,23.20.10.203:443,60
172.16.133.24:57633,23.20.10.203:443,52442
172.16.133.92:57606,172.16.139.250:5440,1142
172.16.133.92:57607,216.219.115.250:443,246
172.16.133.43:57403,173.194.43.59:80,60
172.16.133.43:57406,173.194.43.59:80,60
216.219.115.160:443,172.16.133.57:59181,13623
172.16.133.57:59181,216.219.115.160:443,14555
172.16.133.92:57608,67.217.66.244:443,246
67.217.64.49:443,172.16.133.60:62038,428766
67.217.64.49:443,172.16.133.53:53643,428832
98.139.161.29:80,172.16.133.132:54610,713
67.217.64.49:443,172.16.133.114:55269,24869
172.16.133.132:52323,98.139.240.23:80,1036
172.16.133.57:59183,216.219.115.183:443,14555
172.16.133.26:53072,107.20.103.220:443,61766
172.16.133.29:60816,172.16.139.250:5440,1022
172.16.133.114:55269,67.217.64.49:443,433717
172.16.133.114:55271,67.217.64.54:443,13400
172.16.133.44:64673,172.16.139.250:5440,1022
216.219.115.250:443,172.16.133.92:57607,120
23.20.10.203:443,172.16.133.24:57634,60
173.194.43.59:80,172.16.133.43:57403,60
173.194.43.59:80,172.16.133.43:57406,60
216.115.219.126:443,172.16.133.36:65067,120
67.217.66.244:443,172.16.133.92:57608,120
23.20.10.203:443,172.16.133.24:57632,60
172.16.133.45:61287,96.43.146.176:443,480
107.22.18.198:443,172.16.133.63:53725,25576
23.20.10.203:443,172.16.133.24:57633,16766
172.16.133.237:4358,172.16.131.10:8080,47566
157.56.237.150:443,172.16.133.29:49318,674
157.56.236.102:443,172.16.133.23:61949,563
216.219.115.183:443,172.16.133.57:59183,13623
172.16.133.92:57609,68.64.30.250:443,246
107.20.103.220:443,172.16.133.26:53072,18681
98.138.19.88:80,172.16.133.132:44300,948
172.16.133.92:57610,68.64.13.250:443,246
172.16.133.36:64948,208.85.40.50:80,866
208.85.40.50:80,172.16.133.36:64948,866
172.16.133.207:55872,172.16.139.250:5440,1142
172.16.133.36:65068,208.85.40.20:80,1076
172.16.133.28:63799,96.43.146.22:443,15221
98.139.240.23:80,172.16.133.132:52323,618
172.16.133.83:57021,172.16.139.250:5440,1022
67.217.64.54:443,172.16.133.114:55271,14487
157.56.236.102:443,172.16.133.43:62631,3722
172.16.133.93:60597,172.16.139.250:5440,1142
172.16.133.45:61190,173.70.53.92:41433,120
172.16.133.45:61200,24.125.152.21:51398,120
96.43.146.176:443,172.16.133.45:61287,557
172.16.133.93:54574,96.43.146.22:443,16188
172.16.133.75:58053,96.43.146.176:443,5618
68.64.30.250:443,172.16.133.92:57609,120
172.16.133.11:55079,172.16.139.250:5440,1142
96.43.146.22:443,172.16.133.28:63799,3516
172.16.133.55:57517,172.16.139.250:5440,1022
216.115.208.199:443,172.16.133.36:64909,14165
172.16.133.36:64909,216.115.208.199:443,17580
172.16.133.39:62817,216.115.216.44:443,9699
68.64.13.250:443,172.16.133.92:57610,120
172.16.133.39:62818,216.219.115.17:443,9699
172.16.133.39:62821,216.115.217.144:443,9699
172.16.133.39:62815,64.74.80.15:443,9699
172.16.133.163:1184,157.56.240.102:443,139668
173.70.53.92:41433,172.16.133.45:61190,120
172.16.133.25:59820,24.63.70.49:28159,2937
202.173.24.200:443,172.16.133.103:63409,120
24.125.152.21:51398,172.16.133.45:61200,120
96.43.146.22:443,172.16.133.93:54574,2892
172.16.133.73:60503,172.16.139.250:5440,1022
172.16.133.53:54037,172.16.139.250:5440,1022
172.16.133.21:53111,172.16.139.250:5440,1022
172.16.133.30:62549,172.16.139.250:5440,1142
172.16.133.37:55511,96.43.146.176:443,43163
157.56.240.102:443,172.16.133.163:1184,42612
172.16.133.37:60537,96.43.146.48:443,8856
172.16.133.78:58899,184.96.221.120:64510,3044
64.74.80.15:443,172.16.133.39:62815,5884
216.219.115.17:443,172.16.133.39:62818,5884
216.115.216.44:443,172.16.133.39:62817,5884
216.115.217.144:443,172.16.133.39:62821,5884
208.85.40.20:80,172.16.133.36:65068,489
173.194.75.99:443,172.16.133.25:62995,330
172.16.133.34:50377,172.16.139.250:5440,1142
172.16.133.25:62995,173.194.75.99:443,120
172.16.133.47:56534,67.217.65.65:443,23262
172.16.133.47:56536,67.217.64.65:443,23262
172.16.133.47:56537,67.217.66.65:443,23262
157.56.240.102:443,172.16.133.163:1185,379799
172.16.133.25:63342,172.16.139.250:5440,1022
174.129.20.55:443,172.16.133.110:45907,5458
172.16.133.110:45907,174.129.20.55:443,516
172.16.133.25:60121,173.49.112.206:61315,4970
216.115.208.199:443,172.16.133.82:60717,2174
172.16.133.97:59308,172.16.139.250:5440,1022
172.16.128.169:8014,172.16.133.128:64958,326
172.16.128.169:8014,172.16.133.92:57225,326
172.16.128.169:8014,172.16.133.33:57361,326
172.16.133.128:64958,172.16.128.169:8014,120
172.16.133.33:57361,172.16.128.169:8014,120
172.16.133.92:57225,172.16.128.169:8014,120
172.16.128.169:8014,172.16.133.93:60076,326
172.16.128.169:8014,172.16.133.11:54680,326
172.16.128.169:8014,172.16.133.83:56650,326
172.16.128.169:8014,172.16.133.68:60280,326
172.16.133.93:60076,172.16.128.169:8014,60
172.16.133.83:56650,172.16.128.169:8014,120
172.16.128.169:8014,172.16.133.235:2682,326
172.16.128.169:8014,172.16.133.20:61857,326
172.16.133.68:60280,172.16.128.169:8014,120
172.16.133.235:2682,172.16.128.169:8014,120
172.16.133.11:54680,172.16.128.169:8014,120
172.16.128.169:8014,172.16.133.28:64786,326
172.16.133.20:61857,172.16.128.169:8014,120
172.16.128.169:8014,172.16.133.72:52205,326
172.16.133.28:64786,172.16.128.169:8014,120
172.16.128.169:8014,172.16.133.34:50008,326
172.16.128.169:8014,172.16.133.95:56519,326
172.16.133.34:50008,172.16.128.169:8014,120
172.16.128.169:8014,172.16.133.60:62028,326
172.16.128.169:8014,172.16.133.49:55355,326
172.16.133.95:56519,172.16.128.169:8014,120
172.16.133.60:62028,172.16.128.169:8014,120
172.16.128.169:8014,172.16.133.43:57325,326
172.16.133.49:55355,172.16.128.169:8014,120
172.16.128.169:8014,172.16.133.37:60126,326
172.16.128.169:8014,172.16.133.76:62340,326
172.16.133.72:52205,172.16.128.169:8014,120
172.16.128.169:8014,172.16.133.53:53649,326
172.16.128.169:8014,172.16.133.25:62890,326
172.16.133.37:60126,172.16.128.169:8014,120
172.16.128.169:8014,172.16.133.46:64483,326
172.16.133.43:57325,172.16.128.169:8014,120
172.16.128.169:8014,172.16.133.88:51194,326
172.16.133.46:64483,172.16.128.169:8014,120
172.16.133.25:62890,172.16.128.169:8014,120
172.16.128.169:8014,172.16.133.103:63350,326
172.16.133.53:53649,172.16.128.169:8014,120
172.16.133.88:51194,172.16.128.169:8014,120
