Source:Port,Destination:Port,Data Transferred (bytes)
74.125.142.125:5222,172.16.133.68:59757,547
173.194.74.95:80,172.16.133.66:53770,450
172.16.133.41:52768,216.52.121.204:80,3388
172.16.133.163:3518,74.125.226.207:443,3725
67.221.174.61:443,172.16.133.114:52593,300
216.52.121.204:80,172.16.133.41:52768,4608
74.125.226.207:443,172.16.133.163:3518,75699
172.16.133.25:51023,208.85.40.20:80,2147
172.16.133.33:57853,172.16.139.250:5440,1022
172.16.133.73:60604,74.125.226.59:80,8788
172.16.133.68:60696,172.16.139.250:5440,1022
172.16.133.12:59705,172.16.139.250:5440,1142
172.16.133.63:53849,172.16.139.250:5440,1142
172.16.133.99:52171,157.56.240.102:443,300
172.16.133.75:50603,23.33.44.168:80,240
172.16.133.75:50605,23.33.44.168:80,240
74.125.226.59:80,172.16.133.73:60604,6060
208.85.40.20:80,172.16.133.25:51023,820
172.16.133.66:53821,172.16.139.250:5440,1142
172.16.133.82:61293,172.16.139.250:5440,1142
172.16.133.18:49999,172.16.139.250:5447,9048
172.16.133.37:60581,172.16.139.250:5440,1022
23.33.44.168:80,172.16.133.75:50603,192
23.33.44.168:80,172.16.133.75:50605,192
132.245.1.150:443,172.16.133.39:49311,4635684
172.16.133.75:50604,23.33.44.168:80,240
69.174.248.254:80,172.16.133.48:60440,126
69.174.248.254:80,172.16.133.48:60439,126
69.174.248.254:80,172.16.133.48:60438,126
172.16.133.87:59855,96.43.146.50:443,480
23.33.44.168:80,172.16.133.75:50604,192
172.16.133.39:49311,132.245.1.150:443,84348
172.16.133.41:52769,23.45.65.57:80,26439
96.43.146.50:443,172.16.133.87:59855,557
172.16.133.41:52770,23.45.65.57:80,11511
172.16.133.41:52771,23.45.65.57:80,11200
172.16.133.41:52772,23.45.65.57:80,16129
172.16.133.41:52773,23.45.65.57:80,5661
172.16.133.41:52774,23.45.65.57:80,18544
172.16.133.114:55247,98.129.93.186:443,360
172.16.133.78:59073,172.16.139.250:5440,1022
23.45.65.57:80,172.16.133.41:52769,28798
172.16.133.121:56499,74.125.226.207:443,958
23.45.65.57:80,172.16.133.41:52770,279647
23.45.65.57:80,172.16.133.41:52771,58436
23.45.65.57:80,172.16.133.41:52774,21601
23.45.65.57:80,172.16.133.41:52772,15166
23.45.65.57:80,172.16.133.41:52773,7435
172.16.133.67:55956,172.16.139.250:5440,1142
172.16.133.43:63359,172.16.139.250:5447,1390
74.125.226.207:443,172.16.133.121:56499,3070
172.16.133.56:61382,172.16.139.250:5440,1142
157.56.240.102:443,172.16.133.92:50017,6451
98.129.93.186:443,172.16.133.114:55247,360
172.16.133.87:60090,69.28.187.152:443,180
172.16.133.42:57037,172.16.139.250:5440,1142
172.16.133.75:50921,172.16.139.250:5440,1142
172.16.133.41:52775,172.16.139.250:5440,1142
69.28.187.152:443,172.16.133.87:60090,180
172.16.133.75:50594,23.67.242.11:80,240
172.16.133.85:52218,172.16.139.250:5440,1142
172.16.133.75:50597,23.67.242.11:80,240
172.16.133.75:50595,23.67.242.11:80,240
172.16.133.25:62124,216.52.242.80:80,2089
23.67.242.11:80,172.16.133.75:50594,192
23.67.242.11:80,172.16.133.75:50597,192
172.16.133.43:57735,172.16.139.250:5440,1142
172.16.133.13:53010,172.16.139.250:5440,1142
23.67.242.11:80,172.16.133.75:50595,192
172.16.133.20:62350,172.16.139.250:5440,1142
172.16.133.54:64315,173.194.43.34:443,664
172.16.133.92:50017,157.56.240.102:443,1080
172.16.133.87:60091,64.56.203.22:443,480
172.16.133.51:52983,157.56.232.214:443,785
172.16.133.28:65335,172.16.139.250:5440,1142
172.16.133.25:63409,173.194.76.125:5222,2193
172.16.133.99:56015,172.16.139.250:5440,1022
172.16.133.87:60156,172.16.139.250:5440,1022
173.194.43.34:443,172.16.133.54:64315,373
157.56.232.214:443,172.16.133.51:52983,420
172.16.133.75:50854,96.43.146.22:443,480
172.16.133.35:49943,172.16.139.250:5440,1142
172.16.133.116:53246,172.16.139.250:5440,1022
172.16.133.66:53772,173.194.43.43:80,420
172.16.133.66:53773,173.194.43.43:80,420
172.16.133.116:53247,172.16.139.250:5440,1142
173.194.76.125:5222,172.16.133.25:63409,3866
172.16.133.75:50590,23.67.242.11:80,240
172.16.133.116:53248,172.16.139.250:5440,902
172.16.133.84:58763,172.16.139.250:5440,1142
173.194.43.43:80,172.16.133.66:53772,450
173.194.43.43:80,172.16.133.66:53773,450
157.56.236.102:443,172.16.133.56:60942,2564
172.16.133.75:50855,96.43.146.22:443,480
172.16.133.66:53774,173.194.43.43:80,420
172.16.133.54:64316,173.194.43.39:443,10710
96.43.146.22:443,172.16.133.75:50854,557
23.67.242.11:80,172.16.133.75:50590,192
172.16.133.67:55742,96.43.146.22:443,300
173.194.43.43:80,172.16.133.66:53774,450
173.194.43.39:443,172.16.133.54:64316,10945
64.56.203.22:443,172.16.133.87:60091,420
172.16.133.66:53775,173.194.43.34:80,9051
96.43.146.22:443,172.16.133.75:50855,557
173.194.43.34:80,172.16.133.66:53775,3824
96.43.146.22:443,172.16.133.67:55742,377
172.16.133.49:55738,172.16.139.250:5440,1022
172.16.133.95:56938,172.16.139.250:5440,1142
172.16.133.103:63435,157.56.244.217:443,194
172.16.133.66:53768,173.194.75.103:80,2977
172.16.133.41:52776,199.102.234.31:80,2807
172.16.133.18:50281,157.56.238.6:443,6780
172.16.133.42:57038,96.43.146.48:443,7195
172.16.133.92:57654,172.16.139.250:5440,1022
199.102.234.31:80,172.16.133.41:52776,1587
172.16.133.75:50857,96.43.146.22:443,480
172.16.133.29:60856,172.16.139.250:5440,1022
172.16.133.75:50596,23.67.242.11:80,240
173.194.75.103:80,172.16.133.66:53768,1343
172.16.133.44:64749,172.16.139.250:5440,1142
172.16.133.75:50593,23.67.242.11:80,240
172.16.133.207:55906,172.16.139.250:5440,1022
157.56.244.217:443,172.16.133.103:63435,180
172.16.133.83:57062,172.16.139.250:5440,1142
172.16.133.56:60942,157.56.236.102:443,540
96.43.146.48:443,172.16.133.42:57038,1899
23.67.242.11:80,172.16.133.75:50596,192
23.67.242.11:80,172.16.133.75:50593,192
172.16.133.93:60632,172.16.139.250:5440,1142
172.16.133.41:52777,199.102.234.31:80,2759
96.43.146.22:443,172.16.133.75:50857,557
157.56.238.6:443,172.16.133.18:50281,9919
172.16.133.11:55115,172.16.139.250:5440,1022
172.16.133.55:57552,172.16.139.250:5440,1142
199.102.234.31:80,172.16.133.41:52777,1968
172.16.133.73:60605,172.16.139.250:5440,1142
172.16.133.53:54072,172.16.139.250:5440,1142
172.16.133.21:53146,172.16.139.250:5440,1022
172.16.133.30:62586,172.16.139.250:5440,1142
172.16.133.25:63410,172.16.139.250:5440,1142
172.16.133.34:50412,172.16.139.250:5440,1022
172.16.133.41:52778,199.204.31.83:80,2463
172.16.133.97:59342,172.16.139.250:5440,1142
172.16.133.121:56500,173.194.41.111:443,2662
172.16.133.73:57022,173.194.68.125:443,1336
172.16.133.41:52075,151.193.254.39:443,300
173.194.68.125:443,172.16.133.73:57022,481
199.204.31.83:80,172.16.133.41:52778,32048
172.16.133.33:57854,172.16.139.250:5440,1022
172.16.133.75:49802,96.43.146.176:443,2566
172.16.133.68:60697,172.16.139.250:5440,1142
172.16.133.82:54104,157.56.232.214:443,1522
173.194.41.111:443,172.16.133.121:56500,3787
172.16.133.12:59706,172.16.139.250:5440,1142
172.16.133.67:55561,96.43.146.178:443,120
172.16.133.67:55562,96.43.146.178:443,120
172.16.133.67:55566,96.43.146.178:443,120
172.16.133.67:55563,96.43.146.178:443,120
172.16.133.67:55565,96.43.146.178:443,120
172.16.133.67:55564,96.43.146.178:443,120
151.193.254.39:443,172.16.133.41:52075,300
172.16.133.63:53850,172.16.139.250:5440,1142
172.16.133.66:53822,172.16.139.250:5440,1022
157.56.232.214:443,172.16.133.82:54104,600
96.43.146.176:443,172.16.133.75:49802,788
172.16.133.82:61294,172.16.139.250:5440,1022
96.43.146.178:443,172.16.133.67:55564,197
96.43.146.178:443,172.16.133.67:55565,197
96.43.146.178:443,172.16.133.67:55561,197
96.43.146.178:443,172.16.133.67:55566,197
96.43.146.178:443,172.16.133.67:55562,197
96.43.146.178:443,172.16.133.67:55563,197
172.16.133.37:60582,172.16.139.250:5440,1142
172.16.133.116:53249,8.27.243.253:80,922
172.16.133.116:53250,8.27.243.253:80,1358
172.16.133.116:53251,8.27.243.253:80,1478
172.16.133.116:53252,8.27.243.253:80,988
172.16.133.116:53253,8.27.243.253:80,2154
172.16.133.116:53254,8.27.243.253:80,988
172.16.133.66:58185,173.194.76.125:5222,420
8.27.243.253:80,172.16.133.116:53253,9453
8.27.243.253:80,172.16.133.116:53250,6771
8.27.243.253:80,172.16.133.116:53249,3262
8.27.243.253:80,172.16.133.116:53251,6319
8.27.243.253:80,172.16.133.116:53252,3849
8.27.243.253:80,172.16.133.116:53254,4245
173.194.76.125:5222,172.16.133.66:58185,487
172.16.133.78:59074,172.16.139.250:5440,1142
172.16.133.67:55957,172.16.139.250:5440,1022
172.16.133.56:61383,172.16.139.250:5440,1142
172.16.133.42:57039,172.16.139.250:5440,1142
172.16.133.126:61252,96.43.146.22:443,240
172.16.133.41:52779,74.119.118.84:80,126
172.16.133.41:52780,74.119.118.84:80,4686
172.16.133.41:52781,74.119.118.84:80,126
172.16.133.41:52782,199.102.234.31:80,3095
172.16.133.41:52783,199.102.234.31:80,2741
172.16.133.41:52784,199.102.234.31:80,2550
172.16.133.41:52785,199.102.234.31:80,2631
172.16.133.41:52786,199.102.234.31:80,2631
172.16.133.41:52787,199.102.234.31:80,2721
172.16.133.41:52788,173.194.43.59:80,246
172.16.133.41:52789,173.194.43.59:80,246
172.16.133.41:52790,74.125.226.91:80,246
172.16.133.41:52791,74.125.226.91:80,9943
172.16.133.41:52792,208.47.254.27:80,246
172.16.133.41:52793,208.47.254.27:80,246
172.16.133.41:52794,208.47.254.27:80,246
172.16.133.41:52795,208.47.254.27:80,246
172.16.133.75:50922,172.16.139.250:5440,1022
172.16.133.41:52796,23.33.82.110:443,891
172.16.133.41:52797,23.33.82.110:443,891
172.16.133.41:52798,23.33.82.110:443,891
172.16.133.41:52799,173.194.43.41:80,246
172.16.133.41:52800,173.194.43.41:80,246
172.16.133.41:52801,173.194.43.41:80,6395
172.16.133.41:52802,172.16.139.250:5440,1022
172.16.133.85:52219,172.16.139.250:5440,1142
74.119.118.84:80,172.16.133.41:52780,4994
74.119.118.84:80,172.16.133.41:52779,126
74.119.118.84:80,172.16.133.41:52781,126
199.102.234.31:80,172.16.133.41:52782,4079
96.43.146.22:443,172.16.133.126:61252,317
23.33.82.110:443,172.16.133.41:52796,2364
23.33.82.110:443,172.16.133.41:52797,2364
23.33.82.110:443,172.16.133.41:52798,2364
173.194.43.59:80,172.16.133.41:52789,126
173.194.43.41:80,172.16.133.41:52801,2356
173.194.43.41:80,172.16.133.41:52799,126
173.194.43.59:80,172.16.133.41:52788,126
173.194.43.41:80,172.16.133.41:52800,126
208.47.254.27:80,172.16.133.41:52793,126
208.47.254.27:80,172.16.133.41:52794,126
208.47.254.27:80,172.16.133.41:52795,126
208.47.254.27:80,172.16.133.41:52792,126
199.102.234.31:80,172.16.133.41:52783,27295
199.102.234.31:80,172.16.133.41:52784,5056
199.102.234.31:80,172.16.133.41:52785,2284
199.102.234.31:80,172.16.133.41:52786,1878
199.102.234.31:80,172.16.133.41:52787,4033
74.125.226.91:80,172.16.133.41:52791,3515
74.125.226.91:80,172.16.133.41:52790,126
172.16.133.43:57736,172.16.139.250:5440,1142
172.16.133.13:53011,172.16.139.250:5440,1142
172.16.133.41:52803,216.52.121.204:80,3328
172.16.133.66:53359,96.43.146.22:443,120
172.16.133.66:53358,96.43.146.22:443,120
172.16.133.66:53357,96.43.146.22:443,120
172.16.133.66:53360,96.43.146.22:443,120
172.16.133.20:60387,96.43.146.22:443,10683
172.16.133.20:62351,172.16.139.250:5440,1142
216.52.121.204:80,172.16.133.41:52803,2455
96.43.146.22:443,172.16.133.66:53359,197
96.43.146.22:443,172.16.133.66:53358,197
96.43.146.22:443,172.16.133.66:53360,197
96.43.146.22:443,172.16.133.66:53357,197
96.43.146.22:443,172.16.133.20:60387,1791
172.16.133.28:65336,172.16.139.250:5440,1142
172.16.133.87:60103,96.43.146.22:443,480
172.16.133.92:57467,96.43.146.22:443,360
172.16.133.113:52918,50.17.253.124:80,2580
172.16.133.99:56016,172.16.139.250:5440,1142
172.16.133.87:60104,96.43.146.22:443,2956
172.16.133.87:60157,172.16.139.250:5440,1142
172.16.133.35:49944,172.16.139.250:5440,1142
172.16.133.116:53255,172.16.139.250:5440,1022
172.16.133.116:53256,172.16.139.250:5440,1142
172.16.133.116:53257,172.16.139.250:5440,1142
172.16.133.84:58764,172.16.139.250:5440,1022
172.16.133.75:64262,96.43.146.22:443,13395
50.17.253.124:80,172.16.133.113:52918,2420
172.16.133.75:50856,96.43.146.22:443,13480
96.43.146.22:443,172.16.133.87:60103,557
172.16.133.126:61253,96.43.146.22:443,240
172.16.133.41:52804,96.43.146.22:443,3389
96.43.146.22:443,172.16.133.92:57467,437
96.43.146.22:443,172.16.133.87:60104,768
172.16.133.36:64793,132.245.2.22:443,60
132.245.2.22:443,172.16.133.36:64793,60
172.16.133.36:65075,132.245.2.22:443,34164
96.43.146.22:443,172.16.133.75:64262,2367
96.43.146.22:443,172.16.133.75:50856,2410
96.43.146.22:443,172.16.133.126:61253,317
96.43.146.22:443,172.16.133.41:52804,1017
172.16.133.41:52805,216.52.121.204:80,3388
172.16.133.114:55261,173.194.43.39:80,300
172.16.133.49:55739,172.16.139.250:5440,1022
216.52.121.204:80,172.16.133.41:52805,4245
172.16.133.41:52806,216.52.121.204:80,3317
172.16.133.41:52807,216.52.121.204:80,3317
172.16.133.41:52808,216.52.121.204:80,3317
132.245.2.22:443,172.16.133.36:65075,44953
172.16.133.41:52809,216.52.121.204:80,3317
173.194.43.39:80,172.16.133.114:55261,318
172.16.133.41:52810,216.52.121.204:80,3317
172.16.133.37:60583,67.217.64.244:443,246
172.16.133.37:60584,216.115.223.200:443,246
172.16.133.95:56939,172.16.139.250:5440,1142
216.52.121.204:80,172.16.133.41:52806,557
216.52.121.204:80,172.16.133.41:52807,557
216.52.121.204:80,172.16.133.41:52808,557
216.52.121.204:80,172.16.133.41:52809,557
216.52.121.204:80,172.16.133.41:52810,557
67.217.64.244:443,172.16.133.37:60583,120
172.16.133.92:57655,172.16.139.250:5440,1022
216.115.223.200:443,172.16.133.37:60584,120
172.16.133.34:61119,96.43.146.48:443,67360
172.16.133.29:60857,172.16.139.250:5440,1022
172.16.133.44:64750,172.16.139.250:5440,1022
172.16.133.37:60585,66.151.150.190:443,246
172.16.133.37:60586,216.219.113.250:443,246
172.16.133.207:55907,172.16.139.250:5440,1142
96.43.146.48:443,172.16.133.34:61119,116817
172.16.133.83:57063,172.16.139.250:5440,1022
172.16.133.93:60633,172.16.139.250:5440,1142
172.16.133.87:60102,96.43.146.22:443,32651
172.16.133.11:55116,172.16.139.250:5440,1142
172.16.133.55:57553,172.16.139.250:5440,1142
96.43.146.22:443,172.16.133.87:60102,6011
172.16.133.73:60606,172.16.139.250:5440,1142
172.16.133.53:54073,172.16.139.250:5440,1142
172.16.133.21:53147,172.16.139.250:5440,1142
172.16.133.30:62587,172.16.139.250:5440,1022
172.16.133.25:63411,172.16.139.250:5440,1142
172.16.133.85:61904,96.43.146.178:443,360
66.151.150.190:443,172.16.133.37:60585,120
172.16.133.34:50413,172.16.139.250:5440,1142
216.219.113.250:443,172.16.133.37:60586,120
172.16.133.97:59343,172.16.139.250:5440,1022
172.16.133.103:63436,157.56.234.137:443,194
96.43.146.178:443,172.16.133.85:61904,360
216.52.242.80:80,172.16.133.11:53700,1884
172.16.133.12:59707,172.16.139.250:5440,1022
172.16.133.33:57855,172.16.139.250:5440,1142
172.16.133.24:55887,157.56.242.198:443,495
157.56.234.137:443,172.16.133.103:63436,180
172.16.133.68:60698,172.16.139.250:5440,1142
157.56.242.198:443,172.16.133.24:55887,300
172.16.133.12:59708,172.16.139.250:5440,1142
172.16.133.40:50025,173.252.110.27:443,180
172.16.133.63:53851,172.16.139.250:5440,1022
172.16.133.66:53823,172.16.139.250:5440,1142
172.16.133.24:57595,96.43.146.22:443,2958
172.16.133.82:61295,172.16.139.250:5440,1142
173.252.110.27:443,172.16.133.40:50025,352
172.16.133.35:57171,96.43.146.22:443,13566
172.16.133.37:60587,172.16.139.250:5440,1022
96.43.146.22:443,172.16.133.24:57595,933
172.16.133.48:60506,184.173.190.13:80,8315
96.43.146.22:443,172.16.133.35:57171,2794
184.173.190.13:80,172.16.133.48:60506,2988
172.16.133.56:53119,173.194.76.125:443,420
173.194.76.125:443,172.16.133.56:53119,487
172.16.133.78:59075,172.16.139.250:5440,1022
172.16.133.36:65076,132.245.2.22:443,6784
172.16.133.83:65169,96.43.146.176:443,5010
172.16.133.67:55958,172.16.139.250:5440,1022
172.16.133.41:52811,199.204.31.83:80,2125
172.16.133.56:61384,172.16.139.250:5440,1022
96.43.146.176:443,172.16.133.83:65169,3045
172.16.133.41:52812,208.47.254.26:80,3478
172.16.133.41:52813,208.47.254.26:80,3372
172.16.133.41:52814,208.47.254.24:80,4919
172.16.133.41:52815,208.47.254.32:80,3115
172.16.133.41:52816,208.47.254.32:80,1438
132.245.2.22:443,172.16.133.36:65076,9703
172.16.133.42:57040,172.16.139.250:5440,1142
208.47.254.26:80,172.16.133.41:52812,23157
208.47.254.24:80,172.16.133.41:52814,55529
208.47.254.26:80,172.16.133.41:52813,12345
208.47.254.32:80,172.16.133.41:52816,11599
208.47.254.32:80,172.16.133.41:52815,76554
172.16.133.41:52817,208.47.254.9:80,2380
172.16.133.41:52818,208.47.254.9:80,2860
199.204.31.83:80,172.16.133.41:52811,2531
172.16.133.75:50923,172.16.139.250:5440,1022
172.16.133.41:52819,172.16.139.250:5440,1022
157.56.236.102:443,172.16.133.56:60946,475
208.47.254.9:80,172.16.133.41:52817,15529
208.47.254.9:80,172.16.133.41:52818,45802
172.16.133.85:52220,172.16.139.250:5440,1022
172.16.133.73:60607,74.125.226.8:80,1983
172.16.133.41:52820,216.137.33.133:80,1670
216.137.33.133:80,172.16.133.41:52820,35306
172.16.133.99:55880,173.194.43.3:443,300
74.125.226.8:80,172.16.133.73:60607,1195
172.16.133.43:57737,172.16.139.250:5440,1142
173.194.43.3:443,172.16.133.99:55880,528
172.16.133.13:53012,172.16.139.250:5440,1142
172.16.133.35:55407,74.125.142.125:443,420
172.16.133.20:62352,172.16.139.250:5440,1022
172.16.133.87:59810,96.43.146.22:443,10448
172.16.133.41:52821,208.47.254.9:80,1512
172.16.133.41:52822,208.47.254.9:80,1436
172.16.133.41:52823,208.47.254.9:80,1933
172.16.133.29:60096,173.194.43.60:80,18276
172.16.133.28:65337,172.16.139.250:5440,1022
74.125.142.125:443,172.16.133.35:55407,487
96.43.146.22:443,172.16.133.87:59810,2000
172.16.133.41:52824,23.67.242.27:80,5019
172.16.133.41:52825,23.67.242.27:80,5197
172.16.133.41:52826,23.67.242.27:80,4224
172.16.133.41:52827,23.67.242.27:80,6035
172.16.133.41:52828,23.67.242.27:80,3210
172.16.133.41:52829,23.67.242.27:80,2290
172.16.133.20:61376,96.43.146.22:443,16180
208.47.254.9:80,172.16.133.41:52822,7744
208.47.254.9:80,172.16.133.41:52821,18165
208.47.254.9:80,172.16.133.41:52823,63686
173.194.43.60:80,172.16.133.29:60096,14892
172.16.133.41:52830,66.114.52.25:80,1220
172.16.133.41:52831,174.35.22.77:80,2295
172.16.133.41:52832,173.194.74.95:80,1821
172.16.133.99:56017,172.16.139.250:5440,1022
23.67.242.27:80,172.16.133.41:52824,6099
172.16.133.56:60946,157.56.236.102:443,300
172.16.133.41:52833,216.52.121.204:80,3390
172.16.133.120:53418,173.194.43.34:80,180
172.16.133.87:60159,172.16.139.250:5440,1022
172.16.133.35:49945,172.16.139.250:5440,1142
172.16.133.116:53258,172.16.139.250:5440,1022
172.16.133.41:52834,216.52.121.204:80,3319
172.16.133.116:53259,172.16.139.250:5440,1022
172.16.133.41:52835,216.52.121.204:80,3319
172.16.133.41:52836,216.52.121.204:80,3319
172.16.133.41:52837,216.52.121.204:80,3319
172.16.133.116:53260,172.16.139.250:5440,1022
172.16.133.84:58765,172.16.139.250:5440,1022
23.67.242.27:80,172.16.133.41:52826,8959
23.67.242.27:80,172.16.133.41:52827,7482
23.67.242.27:80,172.16.133.41:52829,2520
23.67.242.27:80,172.16.133.41:52825,6735
23.67.242.27:80,172.16.133.41:52828,4205
66.114.52.25:80,172.16.133.41:52830,3229
174.35.22.77:80,172.16.133.41:52831,11929
173.194.74.95:80,172.16.133.41:52832,33366
96.43.146.22:443,172.16.133.20:61376,2965
172.16.133.78:59077,67.69.174.9:80,4610
172.16.133.103:61730,172.16.139.250:5447,1680
173.194.43.34:80,172.16.133.120:53418,186
216.52.121.204:80,172.16.133.41:52833,1804
216.52.121.204:80,172.16.133.41:52834,557
216.52.121.204:80,172.16.133.41:52835,557
216.52.121.204:80,172.16.133.41:52837,557
216.52.121.204:80,172.16.133.41:52836,557
172.16.133.78:59078,67.69.174.9:80,3606
67.69.174.9:80,172.16.133.78:59077,147037
172.16.133.49:55740,172.16.139.250:5440,1022
172.16.133.63:53398,173.194.43.60:80,360
172.16.133.113:55601,172.16.139.250:135,492
172.16.133.113:55602,172.16.139.250:5462,816
173.194.43.60:80,172.16.133.63:53398,384
67.69.174.9:80,172.16.133.78:59078,176187
172.16.133.95:56940,172.16.139.250:5440,1142
172.16.133.41:52838,70.42.13.101:80,2429
172.16.133.101:50448,96.43.146.22:443,16145
172.16.133.41:52839,216.52.121.204:80,3330
172.16.133.92:57656,172.16.139.250:5440,1022
70.42.13.101:80,172.16.133.41:52838,4774
172.16.133.29:60858,172.16.139.250:5440,1142
172.16.133.44:64751,172.16.139.250:5440,1022
216.52.121.204:80,172.16.133.41:52839,1731
96.43.146.22:443,172.16.133.101:50448,2126
172.16.133.207:55908,172.16.139.250:5440,1142
172.16.133.83:57064,172.16.139.250:5440,1022
172.16.133.41:52840,199.204.31.123:80,3245
172.16.133.41:52841,199.204.29.117:80,8222
172.16.133.93:60634,172.16.139.250:5440,1142
172.16.133.11:55117,172.16.139.250:5440,1142
172.16.133.55:57554,172.16.139.250:5440,1142
172.16.133.29:60114,208.44.23.59:80,21596
172.16.133.73:60608,172.16.139.250:5440,1142
172.16.133.53:54074,172.16.139.250:5440,1022
172.16.133.128:64954,96.43.146.22:443,13470
172.16.133.21:53148,172.16.139.250:5440,1022
172.16.133.30:62588,172.16.139.250:5440,1142
172.16.133.25:63412,172.16.139.250:5440,1142
199.204.31.123:80,172.16.133.41:52840,552
199.204.29.117:80,172.16.133.41:52841,5435
172.16.133.34:50414,172.16.139.250:5440,1142
172.16.133.97:59344,172.16.139.250:5440,1022
96.43.146.22:443,172.16.133.128:64954,2410
172.16.133.120:53420,173.194.43.47:443,300
173.194.43.47:443,172.16.133.120:53420,462
172.16.133.26:49486,96.43.146.176:443,5010
208.44.23.59:80,172.16.133.29:60114,5689
172.16.133.67:53011,96.43.146.48:443,96257
172.16.133.33:57856,172.16.139.250:5440,1022
96.43.146.176:443,172.16.133.26:49486,3105
96.43.146.48:443,172.16.133.67:53011,90974
172.16.133.68:60699,172.16.139.250:5440,1022
172.16.133.12:59709,172.16.139.250:5440,1142
172.16.133.63:53852,172.16.139.250:5440,1022
172.16.133.66:53824,172.16.139.250:5440,1022
172.16.133.82:61296,172.16.139.250:5440,1022
172.16.133.116:54533,157.56.245.198:443,940
172.16.133.37:60588,172.16.139.250:5440,1022
172.16.133.28:49243,172.16.139.250:5500,280116
157.56.245.198:443,172.16.133.116:54533,420
172.16.133.120:53415,173.194.75.106:443,240
172.16.133.78:59079,67.69.174.9:80,5080
172.16.133.78:59080,67.69.174.9:80,4589
172.16.133.78:59081,67.69.174.9:80,5675
173.194.75.106:443,172.16.133.120:53415,396
172.16.133.28:65338,74.125.226.229:443,2907
67.69.174.9:80,172.16.133.78:59079,146440
67.69.174.9:80,172.16.133.78:59080,83960
67.69.174.9:80,172.16.133.78:59081,60930
74.125.226.229:443,172.16.133.28:65338,2382
172.16.133.103:63437,157.56.236.89:80,532
172.16.133.78:59082,172.16.139.250:5440,1022
172.16.133.78:59083,67.69.174.9:80,3569
172.16.133.24:57688,172.16.128.169:8014,3226
172.16.133.67:55959,172.16.139.250:5440,1022
157.56.236.89:80,172.16.133.103:63437,352
172.16.133.85:52221,172.16.128.169:8014,2653
172.16.133.116:53261,172.16.128.169:8014,2674
172.16.133.78:59084,23.60.238.131:443,9076
172.16.133.73:60609,172.16.128.169:8014,3193
172.16.133.39:64251,172.16.128.169:8014,1906
172.16.133.84:58766,172.16.128.169:8014,2674
172.16.133.76:62350,96.43.146.22:443,360
172.16.133.28:65339,173.194.43.40:443,2934
172.16.133.29:60859,172.16.128.169:8014,1884
172.16.133.56:61385,172.16.139.250:5440,1142
67.69.174.9:80,172.16.133.78:59083,151398
172.16.133.87:65530,157.56.240.102:443,475
173.194.43.40:443,172.16.133.28:65339,14170
172.16.133.42:57041,172.16.139.250:5440,1142
172.16.133.44:64752,172.16.128.169:8014,2654
172.16.133.78:59085,67.69.174.18:80,1877
23.60.238.131:443,172.16.133.78:59084,91217
96.43.146.22:443,172.16.133.76:62350,437
157.56.240.102:443,172.16.133.87:65530,300
172.16.133.78:59086,12.129.199.104:80,639
172.16.133.78:59087,67.69.174.122:80,1236
172.16.133.75:50924,172.16.139.250:5440,1142
172.16.133.41:52842,172.16.139.250:5440,1142
67.69.174.18:80,172.16.133.78:59085,18263
172.16.128.169:8014,172.16.133.24:57688,2952
172.16.133.132:37936,76.13.6.174:80,272
172.16.133.85:52222,172.16.139.250:5440,1142
172.16.128.169:8014,172.16.133.85:52221,2760
172.16.133.103:63438,132.245.1.166:443,2959
172.16.128.169:8014,172.16.133.116:53261,2760
172.16.128.169:8014,172.16.133.73:60609,2952
172.16.128.169:8014,172.16.133.39:64251,2700
172.16.128.169:8014,172.16.133.84:58766,2760
172.16.128.169:8014,172.16.133.29:60859,2700
76.13.6.174:80,172.16.133.132:37936,210
172.16.133.41:52843,208.47.254.24:80,2427
67.69.174.122:80,172.16.133.78:59087,36786
172.16.133.41:52844,208.47.254.24:80,246
157.56.234.118:443,172.16.133.28:49296,570
172.16.133.78:59088,205.234.225.137:80,1339
132.245.1.166:443,172.16.133.103:63438,6748
172.16.128.169:8014,172.16.133.44:64752,2760
172.16.133.43:57738,172.16.139.250:5440,1142
208.47.254.24:80,172.16.133.41:52843,1916
208.47.254.24:80,172.16.133.41:52844,126
12.129.199.104:80,172.16.133.78:59086,525
172.16.133.13:53013,172.16.139.250:5440,1142
172.16.133.45:61325,172.16.139.250:5440,1142
205.234.225.137:80,172.16.133.78:59088,28282
172.16.133.14:63142,172.16.128.169:8014,2686
172.16.133.132:54013,23.33.95.139:80,272
172.16.133.20:62353,172.16.139.250:5440,1022
172.16.133.92:49664,96.43.146.48:443,5010
23.33.95.139:80,172.16.133.132:54013,140
172.16.133.28:65340,172.16.139.250:5440,1142
172.16.133.41:52845,23.62.105.231:80,246
172.16.133.41:52846,174.129.245.199:80,3078
172.16.133.41:52847,174.129.245.199:80,246
172.16.133.41:52848,208.47.254.8:80,246
172.16.133.41:52849,23.21.215.52:80,3039
172.16.133.41:52850,23.21.215.52:80,246
172.16.133.99:56018,172.16.139.250:5440,1142
172.16.133.132:49215,98.139.161.29:80,272
172.16.133.87:60160,172.16.139.250:5440,1022
172.16.128.169:8014,172.16.133.14:63142,2760
174.129.245.199:80,172.16.133.41:52846,865
208.47.254.8:80,172.16.133.41:52848,186
